Overall Claims by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  NUMBER_OF_CLAIMS
5                                                 999553                 1
6                                                  A 112                 1
7                                              A.CARRARO                 1
8                                              A/R 146 L                 1
9                                                   A4RM                 1
11                                                    AC                 1
12                                                  ADAM                 1
15                                                  ADLY                 1
17                                             AEBI & CO                 1
20                                                 AEXAN                 1
22                                         AGCO G Series                 1
24                                        AGCO GMBH E CO                 1
26                                  AGCO MASSEY FERGUSON                 1
28                                           AGRIFULL 70                 1
29                                             AGRITALIA                 1
30                                                AGUSTA                 1
32                                                  AIXA                 1
35                                   AIXAM MEGA K 34V BR                 1
87                                           AUTOFFICINA                 1
89                                           AUTOMOBILES                 1
90                                    AUTOMOBILES LIGIER                 1
133                                    BRUSEGHINI  BEP/4                 1
137                                            BURSTENER                 1
141                                               Borile                 1
143                                             C F MOTO                 1
144                                             CADILLAC                 1
147                                              CARHAGO                 1
150                                             CARRAROI                 1
151                                               CARRON                 1
154                                          CASALINI 10                 1
157                                                CASEI                 1
158                                              CASSONE                 1
159                                                  CAT                 1
160                                      CAT CATERPILLAR                 1
163                                                  CCM                 1
164                                              CENNTRO                 1
167                                           CFORCE450L                 1
169                                               CHANET                 1
171                                            CHANTENET                 1
173                                             CHATEMET                 1
175                                    CHATENET CH26 1 0                 1
176                                 CHATENET QUADRICICLO                 1
178                                             CHAUSSON                 1
134                                               BUCHER                 1
131                                              BREMACK                 1
91                                  AUTOMOBILES LIGIER J                 1
128                                              BONETTI                 1
92                                  AUTOMOBILIES CHATENE                 1
93                                             AUTOTORRE                 1
94                                           AUTOVETTURA                 1
95                                                  AXAM                 1
96                                                 AXIAM                 1
97                                                   AXY                 1
98                                                 Adiva                 1
103                                                B M W                 1
104                                           BARTOLETTI                 1
105                                        BARTOLETTI MV                 1
113                                             BERLINGO                 1
114                                              BEROISH                 1
115                                            BERTOLINI                 1
119                                        BETAMOTOR SPA                 1
120                                               BIMOTA                 1
121                                                 BLUE                 1
122                                           BLUE DREAM                 1
124                                         BMW 316i C 4                 1
125                                             BMW 520i                 1
126                                              BMW X 3                 1
127                                          BMW X5 3.0D                 1
372                                          FIATGEOTECH                 1
373                                             FIAT\680                 1
374                                               FIESTA                 1
697                                         NISSAN DATSU                 1
681                                                  Man                 1
682                                                 Mash                 1
684                                      Mercedes - Benz                 1
687                                             Moto spa                 1
688                                               Motron                 1
689                                      NACTIONAL MOTOR                 1
691                                           NEW HOLAND                 1
693                                         NEW HOLLANDE                 1
694                                                NIBBI                 1
695                                               NINGBO                 1
698                                          NISSAN JUKE                 1
619                                             MC LUOIS                 1
701                                         NISSAN Patro                 1
703                                         NISSAN X-Tra                 1
706                                          New Holland                 1
707                                               Nissan                 1
708                                                  Nox                 1
709                                                OELLE                 1
711                                                 OMAI                 1
713                                           OPEL ASTRA                 1
715                                         OPEL Astra 1                 1
717                                         OPEL CORSA S                 1
679                                            MV Agusta                 1
674                                        MOTORHISPANIA                 1
668                                               MORINI                 1
667                                               MORGAN                 1
622                                              MCLOUIS                 1
625                                               MEGANE                 1
630                                         MERCEDES 208                 1
633                                         MERCEDES CLK                 1
634                                         MERCEDES E 2                 1
635                                         MERCEDES E 3                 1
636                                         MERCEDES Ser                 1
641                                           MF LANDINI                 1
643                                                MICRO                 1
646                                         MIETITREBBIA                 1
647                                            MINARELLI                 1
649                                          MINI COOPER                 1
650                                         MINI Mini 1.                 1
651                                              MINICAR                 1
653                                               MIRAGE                 1
655                                          MITSUBHISHI                 1
659                                           MITSUBISCI                 1
662                                           MITSUBISHY                 1
663                                           MITSUBISKI                 1
664                                                   ML                 1
665                                           MOBILVETTA                 1
722                                                OPERL                 1
723                                                OZETA                 1
724                                                 Opel                 1
767                                                 QUAD                 1
770                                   QUADRICICLO LIGIER                 1
772                                               QUARGO                 1
773                                               Quadro                 1
774                                               R.V.M.                 1
778                                                  RAV                 1
779                                                RAV 4                 1
780                                              REANULT                 1
781                                               REFORM                 1
782                                          REFORMWERKE                 1
784                                           REN.MEGANE                 1
785                                                RENAU                 1
786                                              RENAUKT                 1
787                                               RENAUL                 1
791                                         RENAULT Clio                 1
794                                         RENAULT M GA                 1
796                                         RENAULT MODU                 1
797                                         RENAULT Modu                 1
799                                           RENAULT TW                 1
801                                              RENEULT                 1
803                                                RIMOR                 1
805                                              RIVIERA                 1
769                                  QUADRICICLO LEGGERO                 1
764                                            PUNTO VAN                 1
725                                                Orcal                 1
763                                         PUNTO DYNAMI                 1
726                                                 Over                 1
727                                               PAJERO                 1
729                                            PANDA 4X4                 1
730                                                PAOLO                 1
731                                              PAQUALI                 1
733                                           PAYERO GLS                 1
734                                           PEDA MOTOR                 1
735                                              PEGEOUT                 1
736                                               PEGEUT                 1
737                                              PELLENC                 1
738                                             PEOUGEOT                 1
740                                               PEUGEO                 1
744                                          PEUGEOT 306                 1
745                                          PEUGEOT 405                 1
746                                         PEUGEOT RANC                 1
748                                              PEUGETO                 1
751                                         PIAGGIO VESP                 1
757                                           PORTA MOTO                 1
758                                               PORTER                 1
759                                          PORTERMAXXI                 1
761                                                  PSG                 1
621                                              MCLAREN                 1
616                                        MBK INDUSTRIE                 1
375                                                FIORI                 1
462                                         HYUNDAI ATOS                 1
438                                                 H.D.                 1
439                                                HAFEI                 1
448                                              HOLLAND                 1
450                                            HONDA 250                 1
451                                            HONDA CBR                 1
452                                             HONDA PC                 1
455                                               HUNDAY                 1
456                                            HURLIMANN                 1
457                                             HUSABERG                 1
460                                               HYNDAI                 1
468                                                Hymer                 1
613                                                MAXUS                 1
469                                              Hyosung                 1
470                                              Hyundai                 1
471                                           I.V.R. SRL                 1
472                                                ICARO                 1
473                                              ICOVECO                 1
474                                        IFOR WILLIAMS                 1
475                                               IIVECO                 1
478                                        INTERNATIONAL                 1
479                                                IRBIT                 1
484                                            ISUZU P35                 1
436                                              Generic                 1
432                                              GREENCO                 1
430                                        GRECAV S.p.A.                 1
425                                             GRAZIOLI                 1
376                                                 FITA                 1
377                                           FITA IVECO                 1
379                                            FK MOTORS                 1
381                                            FORD 3600                 1
389                                         FORD Foc 2.0                 1
390                                              FORD KA                 1
392                                   FORD NUOVO TRANSIT                 1
396                                         FORD TRIGANO                 1
397                                             FORD USA                 1
398                                             FORD WAG                 1
399                                    FORD WERKE TECFHL                 1
401                                             FRANCINI                 1
402                                           FREELANDER                 1
403                                                 FUJI                 1
406                                         Fantic motor                 1
407                                                Fendt                 1
409                                           Fiat Punto                 1
415                                             GASOLONE                 1
420                                      GIOTTI VITTORIA                 1
421                                               GLOBAL                 1
422                                                GOEST                 1
485                                               ITALIA                 1
488                                            IVECO 100                 1
489                                          IVECO 100 E                 1
554                                         LANCIA LIBRA                 1
557                                         LANCIA Y 1.1                 1
563                                         LAND ROVER F                 1
565                                              LANIDNI                 1
566                                              LAVERDA                 1
567                                         LAVERDA 3300                 1
568                                                LEOMA                 1
570                                                LGIER                 1
572                                             LIEBHERR                 1
579                                              LINDNER                 1
585                                           LUANO CAMP                 1
588                                               Lancia                 1
589                                           Land Rover                 1
591                                  MACCHINA OPERATRICE                 1
592                                              MAGIRUS                 1
595                                      MALAGUTI/YAMAHA                 1
597                                    MAN NUTSFAHRZEUGE                 1
598                                            MAN SYN2Z                 1
599                                              MAN TGX                 1
603                                         MAR GENEROSA                 1
611                                                MASSY                 1
612                                               MAURER                 1
555                                         LANCIA THEMA                 1
552                                            LAMBRETTA                 1
493                                                IZUZU                 1
548                                   LAIKA CARAVANS SPA                 1
494                                                Isuzu                 1
495                                              Italjet                 1
497                                          J.C.BAMFORD                 1
499                                   JAGUAR LANDO ROVER                 1
500                                         JAGUAR XJ6 3                 1
501                                 JANGSSU LUNENG ELECT                 1
505                                           JHNO DEERE                 1
506                                           JHON DEERE                 1
507                                             JIANGMEN                 1
512                                            JOHNDEERE                 1
513                                            JONE DEER                 1
514                                           JONH DEERE                 1
516                                          KAWASAKI KL                 1
520                                               KIA UP                 1
524                                                KLAAS                 1
526                                          KNAUSTABBER                 1
527                                              KORANDO                 1
533                                           KTM  IS A3                 1
534                                              KTM 125                 1
537                                                KWANG                 1
538                                           KWANG YANG                 1
1213  ||||||||||||||||||||||||||||||||||||||||||||||||||                 1
