Overall Claims by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  NUMBER_OF_CLAIMS
672                                            MOTOCICLO                 5
68                                                ASKOLL                 5
881                                           SUPER SOCO                 5
467                                            Husqvarna                 5
135                                                BUELL                 5
573                                               LIEGER                 5
363                                         FIAT Seicent                 5
362                                         FIAT SEICENT                 5
359                                         FIAT Punto 5                 5
1070                                            casalini                 5
927                                         TOYOTA Yaris                 5
1024                                          WOLKSVAGEN                 5
669                                                 MOTO                 5
1025                                          WOLKSWAGEN                 5
477                                            INNOCENTI                 5
459                                                HYMER                 5
1153                                            microcar                 5
632                                         MERCEDES C 2                 5
228                                              Citroen                 5
547                                       LAIKA CARAVANS                 5
81                                          AUSTIN ROVER                 5
872                                          SPORTEQUIPE                 5
718                                         OPEL Corsa 1                 5
454                                               HUMMER                 5
252                                           DEUTZ FAHR                 5
41                                                AIXMAN                 5
245                                 DAIMLERCHRYSLER AG 9                 5
1083                                               dacia                 5
790                                         RENAULT CLIO                 5
433                                              GREENGO                 5
203                                                CLAAS                 5
40                                                 AIXMA                 5
771                                               QUADRO                 5
336                                          FIAT DUCATO                 4
827                                             S.D.F.I.                 4
558                                         LANCIA Y 1.2                 4
464                                              HYUNDAY                 4
661                                      MITSUBISHI FUSO                 4
939                                   TRATTRICE AGRICOLA                 4
536                                            KWAN YANG                 4
685                                           Mitsubishi                 4
535                                               KUBOTA                 4
624                                                 MEGA                 4
904                                                TARGA                 4
958                                       VALENTI RACING                 4
496                                                Iveco                 4
628                                      MERCEDES - BENZ                 4
419                                      GIOTTI VICTORIA                 4
416                                              GENERIC                 4
431                                           GRECAV SPA                 4
985                                            VOLKWAGEN                 4
755                                                 POLO                 4
969                                                VESPA                 4
577                                         LIGIER GROUP                 4
1013                                         VW Polo 1.4                 4
521                                                KIMCO                 4
1016                                                Voge                 4
639                                              MERCEDS                 4
940                                              TRIGANO                 4
404                                                 FULU                 4
810                                            ROMANITAL                 4
75                                           AUDI A2 1.4                 4
1127                                         lamborghini                 4
1124                                               kymco                 4
106                                                  BCS                 4
198                                         CITROEN SAXO                 4
202                                               CITRON                 4
1188                                               smart                 4
64                                    ARCHIVE MOTORCYCLE                 4
1120                                                jeep                 4
211                                           CNH EUROPE                 4
116                                              BERTONE                 4
57                                               ANTONIO                 4
69                                          ASTON MARTIN                 4
287                                              ESTRIMA                 4
1146                                                 mbk                 4
1055                                             aprilia                 4
172                                             CHATANET                 4
1141                                                 man                 4
1140                                            malaguti                 4
138                                             BURSTNER                 4
1162                                         new holland                 4
145                                               CAGIVA                 3
523                                                   KL                 3
948                                                  UAZ                 3
540                                                KYMKO                 3
152                                             CARTHAGO                 3
1131                                             landini                 3
937                                            TRATTRICE                 3
162                                          CATERPILLAR                 3
503                                                  JDM                 3
510                                            JOHN DEER                 3
217                                               COMACA                 3
997                                             VW CADDY                 3
411                                                  GAC                 3
414                                              GAS GAS                 3
1085                                            daihatsu                 3
424                                                 GOLF                 3
1092                                        fantic motor                 3
222                                               CUCINI                 3
453                                               HORWIN                 3
1113                                               icaro                 3
978                                           VOLKSVAGEN                 3
207                                                CLASS                 3
480                                               IRIZAR                 3
481                                                ISEKI                 3
486                                              ITALJET                 3
491                                           IVECO FIAT                 3
571                                               LIDIER                 3
931                                          TRANSPORTER                 3
600                                        MAN TRUCK BUS                 3
926                                         TOYOTA YARIS                 3
843                                              SANYANG                 3
714                                         OPEL Agila 1                 3
716                                         OPEL CORSA 1                 3
848                                                 SDFI                 3
846                                            SCANIA CV                 3
742                                          PEUGEOT 106                 3
743                                          PEUGEOT 206                 3
747                                             PEUGEOUT                 3
1183                                              scania                 3
762                                                PUNTO                 3
23                                             AGCO GMBH                 3
775                                                  RAM                 3
18                                                  AEON                 3
822                                                Rieju                 3
807                                          ROLLER TEAM                 3
