Avg Overall Claim Amount by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
1043                                                 ZEN           2384.000000
458                                            HUSQVARNA           2359.270000
137                                            BURSTENER           2352.000000
872                                          SPORTEQUIPE           2347.766000
960                                               VALMET           2330.630000
730                                                PAOLO           2324.000000
977                                            VOLKSAGEN           2320.000000
524                                                KLAAS           2310.000000
522                                                KIMKO           2307.261429
839                           SAME DEUTZ-FAHR ITALIA SPA           2300.000000
421                                               GLOBAL           2300.000000
958                                       VALENTI RACING           2285.000000
538                                           KWANG YANG           2283.000000
812                                         ROVER 420 td           2283.000000
329                                           FIAT BRAVA           2283.000000
674                                        MOTORHISPANIA           2283.000000
797                                         RENAULT Modu           2283.000000
219                                                  CPI           2283.000000
735                                              PEGEOUT           2283.000000
260                                  DONGFENG MOTOR CORP           2283.000000
227                                          Ciclomotore           2283.000000
313                                             FHYUNDAY           2283.000000
823                                        Royal Enfield           2283.000000
1184                                           scuolabus           2283.000000
1061                                             belarus           2283.000000
196                                         CITROEN C5 2           2283.000000
1185                                          share n'go           2283.000000
992                                        VOLVO FE 2006           2283.000000
1068                                               caron           2283.000000
124                                         BMW 316i C 4           2283.000000
168                                            CH RACING           2282.166667
700                                         NISSAN Micra           2275.340000
358                                         FIAT Punto 1           2275.066667
691                                           NEW HOLAND           2275.000000
710                                                   OM           2274.236667
855                                                SENKE           2272.000000
140                                                 Beta           2271.152400
510                                            JOHN DEER           2258.546667
255                                                DIECI           2252.690000
467                                            Husqvarna           2248.600000
41                                                AIXMAN           2244.530000
1034                                              XIAMEN           2243.500000
581                                               LJGIER           2241.500000
312                                               FGM 37           2240.000000
541                                             Kawasaki           2239.808333
515                                             KAWASAKI           2235.091875
1089                                               durso           2225.000000
307                                            FENDT 208           2225.000000
43                                                   AJP           2224.770000
1070                                            casalini           2223.500000
410                                                 Ford           2222.331667
166                                               CFMOTO           2220.190000
31                                                AIAXAM           2215.860000
1193                                              suzuki           2205.206000
251                                         DEUTZ - FAHR           2200.000000
66                                                 ARIIC           2200.000000
949                                                UMBRA           2200.000000
160                                      CAT CATERPILLAR           2200.000000
495                                              Italjet           2200.000000
802                                                RIEJU           2197.238571
810                                            ROMANITAL           2196.250000
21                                                  AGCO           2192.605714
268                                               DUCATO           2189.958000
623                                                   ME           2170.000000
423                                              GOLDONI           2163.756000
1104                                               great           2150.010000
276                                               Ducati           2142.459000
165                                              CF MOTO           2142.215000
466                                                Honda           2136.651310
430                                        GRECAV S.p.A.           2130.000000
1042                                              Yamaha           2129.626195
976                                               VOLEEX           2128.000000
957                                              VALENTI           2128.000000
330                                         FIAT BRAVA 1           2128.000000
1008                                         VW POLO 1.0           2128.000000
188                                              CIRELLI           2128.000000
1040                                               YADEA           2128.000000
942                                          TRIGANO VDL           2128.000000
722                                                OPERL           2128.000000
1033                                          XEV S.R.L.           2128.000000
164                                              CENNTRO           2128.000000
392                                   FORD NUOVO TRANSIT           2128.000000
973                                            VM RACING           2128.000000
256                                            DIECI SRL           2128.000000
440                                               HARLEY           2123.608000
816                                        ROYAL ENFIELD           2123.566111
1031                                               Wayel           2120.000000
968                                           VERVE MOTO           2113.000000
80                                                AUSTIN           2110.586667
1041                                              YAMAHA           2105.839425
542                                               Keeway           2101.900000
670                                           MOTO GUZZI           2101.362593
133                                    BRUSEGHINI  BEP/4           2100.000000
179                                              CHEREAU           2100.000000
117                                                 BETA           2099.312747
774                                               R.V.M.           2097.180000
678                                           MV AUGUSTA           2094.333333
692                                          NEW HOLLAND           2090.346522
826                                            S L K 874           2089.930000
608                                               MASSEY           2086.187500
956                                                  VAL           2085.020000
532                                                  KTM           2083.129937
234                                           DAF TRUCKS           2080.500000
768                                          QUADRICICLO           2079.500000
1048                                              Zontes           2079.490000
926                                         TOYOTA YARIS           2077.000000
656                                             MITSUBIS           2062.182258
33                                                 AIXAM           2061.667702
985                                            VOLKWAGEN           2061.500000
1148                                             mecedes           2060.000000
6                                                  A 112           2060.000000
1177                                               rimor           2060.000000
20                                                 AEXAN           2060.000000
