Civil Liability Claims by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  NUMBER_OF_CLAIMS
716                      SANTANA                 4
567                    MOTOCICLO                 4
373                       HARLEY                 4
861                  VW Polo 1.4                 4
865                   Volkswagen                 4
241                      ESTRIMA                 4
687                    ROMANITAL                 4
454                    KWAN YANG                 4
870                   WOLKSVAGEN                 4
671                 RENAULT CLIO                 4
896                      aprilia                 4
557              MITSUBISHI FUSO                 3
453                       KUBOTA                 3
458                        KYMKO                 3
355              GIOTTI VICTORIA                 3
348                          GAC                 3
486                       LIDIER                 3
326                  FORD FIESTA                 3
431                    JOHN DEER                 3
474                 LANCIA Y 1.2                 3
555                  MITSUBISCHI                 3
365                   GRECAV SPA                 3
406                        ISEKI                 3
444                           KL                 3
394                      HYUNDAY                 3
489                        LIFAN                 3
425                          JDM                 3
168                 CITROEN SAXO                 3
641                         POLO                 3
960                      landini                 3
239                          EMC                 3
959                   land rover                 3
655                       QUADRO                 3
955                        kymco                 3
864                         Voge                 3
753               SUZUKI VALENTI                 3
176                        CLASS                 3
741                  SPORTEQUIPE                 3
927                 fantic motor                 3
702                     S.D.F.I.                 3
186                       COMACA                 3
92                           BCS                 3
68                   AUDI A2 1.4                 3
717                      SANYANG                 3
720                    SCANIA CV                 3
71                        AUSTIN                 3
72                  AUSTIN ROVER                 3
88                           Axy                 3
646                        PUNTO                 3
892                   aixam mega                 3
601                           OM                 3
605                 OPEL Agila 1                 3
17                          AEON                 3
991                         opeL                 3
798           TRATTRICE AGRICOLA                 3
634                     PEUGEOUT                 3
263                     FERRANTE                 3
139                  CATERPILLAR                 3
22                     AGCO GMBH                 3
607                 OPEL CORSA 1                 3
796                    TRATTRICE                 3
787                 TOYOTA YARIS                 3
970                          man                 3
1031                          vw                 3
631                  PEUGEOT 106                 3
573                   MV AUGUSTA                 3
889             Zero Motorcycles                 2
465                 LAMBIORGHINI                 2
464                        LAIKA                 2
475                 LANCIA YPSIL                 2
472                     LANCIA Y                 2
834                   VOLKSVAGEN                 2
843                    VOLVO F10                 2
878                       XIAMEN                 2
869                         WOLK                 2
867            WIN LIFE ELECTRIC                 2
856                    VW PASSAT                 2
461                          Kia                 2
849                      VW GOLF                 2
926                       fantic                 2
894                   alfa romeo                 2
953                     kawasaki                 2
1024                       vespa                 2
1012                       smart                 2
993                        paoli                 2
430                   JOHN  DEER                 2
989                  new holland                 2
438                     KAWASAKY                 2
983                         mini                 2
963                        liger                 2
442                        KIMCO                 2
956                        kymko                 2
949                          jdm                 2
895                          ape                 2
447                          KSR                 2
938                       grecav                 2
