Avg Civil Liability Claim Amount by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
150                     CHATENET           2393.572797
527                    MCCORMICK           2386.000000
886                          ZEN           2384.000000
342                 Fantic Motor           2380.441176
38                         AIXMA           2380.250000
640                      POLARIS           2373.833333
491                       LIGIER           2370.879740
722                          SEA           2361.000000
490                        LIGER           2357.951000
459                     Kawasaki           2351.561765
916                      citroen           2349.553667
121                         Beta           2349.117083
891                        aixam           2348.018929
363             GREAT WALL MOTOR           2338.840465
1026                  volkswagen           2337.554500
120                      Benelli           2337.133333
642                      PORSCHE           2335.620142
846                           VW           2332.659091
817                       VALMET           2330.630000
0                      MAN TRUCK           2327.000000
870                   WOLKSVAGEN           2325.000000
621                        PAOLO           2324.000000
450                          KTM           2322.658485
833                    VOLKSAGEN           2320.000000
518                       MASSEY           2315.852857
727                        SETRA           2310.000000
505                     MAHINDRA           2304.085435
131                     CASALINI           2300.208235
357                       GLOBAL           2300.000000
713   SAME DEUTZ-FAHR ITALIA SPA           2300.000000
366                      GREENGO           2298.715000
815               VALENTI RACING           2285.000000
901                      belarus           2283.000000
677                 RENAULT Modu           2283.000000
193                  Ciclomotore           2283.000000
456                   KWANG YANG           2283.000000
413              IVECO EUROCARGO           2283.000000
1008                   scuolabus           2283.000000
907                        caron           2283.000000
244                    EUROCARGO           2283.000000
166                 CITROEN C5 2           2283.000000
265                     FHYUNDAY           2283.000000
96                       BENTLEY           2283.000000
278                   FIAT BRAVA           2283.000000
108                 BMW 316i C 4           2283.000000
533              MERCEDES - BENZ           2283.000000
188                          CPI           2283.000000
569                MOTORHISPANIA           2283.000000
1009                  share n'go           2283.000000
626                      PEGEOUT           2283.000000
220          DONGFENG MOTOR CORP           2283.000000
844                VOLVO FE 2006           2283.000000
689                 ROVER 420 td           2283.000000
699                Royal Enfield           2283.000000
145                    CH RACING           2282.166667
594                 NISSAN Micra           2275.340000
305                 FIAT Punto 1           2275.066667
585                   NEW HOLAND           2275.000000
601                           OM           2274.236667
726                        SENKE           2272.000000
396                        Honda           2269.734714
460                       Keeway           2268.555556
448                     KSR MOTO           2264.190000
431                    JOHN DEER           2258.546667
389                    HUSQVARNA           2256.826500
31                         AIXAM           2254.050326
215                        DIECI           2252.690000
126                       CAGIVA           2250.000000
397                    Husqvarna           2248.600000
10                        ABARTH           2247.524897
878                       XIAMEN           2243.500000
872                 WOTTAN MOTOR           2241.770000
496                       LJGIER           2241.500000
478                   LAND ROVER           2240.989888
908                      carraro           2240.000000
692                ROYAL ENFIELD           2238.525294
365                   GRECAV SPA           2231.666667
381                        HONDA           2227.235554
924                        durso           2225.000000
260                    FENDT 208           2225.000000
41                           AJP           2224.770000
884                       YAMAHA           2224.559027
909                     casalini           2223.500000
245                          EVO           2222.148378
655                       QUADRO           2220.666667
42                          ALFA           2215.530000
370                       Gilera           2214.370000
741                  SPORTEQUIPE           2212.003333
586                  NEW HOLLAND           2208.547812
1000                     renault           2207.909630
61                         ARIIC           2200.000000
138              CAT CATERPILLAR           2200.000000
808                        UMBRA           2200.000000
211                 DEUTZ - FAHR           2200.000000
418                      Italjet           2200.000000
687                    ROMANITAL           2196.250000
20                          AGCO           2192.605714
555                  MITSUBISCHI           2186.333333
224                           DS           2184.422444
554                     MITSUBIS           2183.582857
329                  FORD Fiesta           2181.000000
898                         audi           2175.200000
101                         BETA           2171.685765
834                   VOLKSVAGEN           2171.500000
798           TRATTRICE AGRICOLA           2170.333333
812                      Unknown           2166.666835
719                       SCANIA           2165.913286
358                      GOLDONI           2163.756000
762                       Suzuki           2160.167812
484                        LEXUS           2156.315917
746                       SUBARU           2154.842540
373                       HARLEY           2154.510000
115                      BRIXTON           2153.543750
937                        great           2150.010000
408                        ISUZU           2149.725725
95                       BENELLI           2145.890000
885                       Yamaha           2145.738342
421                       JAGUAR           2145.644241
142                      CF MOTO           2142.215000
879                    XINDAYANG           2141.982500
426                         JEEP           2141.755609
432                   JOHN DEERE           2132.460588
572                    MV AGUSTA           2132.000000
883                        YADEA           2128.000000
857                  VW POLO 1.0           2128.000000
877                   XEV S.R.L.           2128.000000
141                      CENNTRO           2128.000000
814                      VALENTI           2128.000000
160                      CIRELLI           2128.000000
613                        OPERL           2128.000000
335           FORD NUOVO TRANSIT           2128.000000
829                    VM RACING           2128.000000
611                  OPEL ZAFIRA           2128.000000
377                       HELNAG           2128.000000
279                 FIAT BRAVA 1           2128.000000
801                  TRIGANO VDL           2128.000000
205              DAIMLERCHRYSLER           2128.000000
832                       VOLEEX           2128.000000
216                    DIECI SRL           2128.000000
875                        Wayel           2120.000000
379                           HM           2119.508421
359                         GOLF           2117.500000
100                      BERTONE           2115.000000
824                   VERVE MOTO           2113.000000
331                 FORD Foc 1.8           2111.500000
156                     CHRYSLER           2111.433855
71                        AUSTIN           2110.586667
994                      peugeot           2109.785000
116            BRUSEGHINI  BEP/4           2100.000000
154                      CHEREAU           2100.000000
932                         ford           2099.314359
656                       R.V.M.           2097.180000
836                     VOLKSWAG           2096.309143
573                   MV AUGUSTA           2094.333333
67                          AUDI           2093.182789
411                        IVECO           2091.912270
50                         ALTRE           2091.616154
590                       NISSAN           2090.580009
669                      RENAULT           2090.040872
701                    S L K 874           2089.930000
405                       IRIZAR           2089.500000
49                    ALFA ROMEO           2086.474970
813                          VAL           2085.020000
200                   DAF TRUCKS           2080.500000
652                  QUADRICICLO           2079.500000
890                       Zontes           2079.490000
1019                      toyota           2078.714286
87                       Aprilia           2078.269375
107                          BMW           2077.999421
76                     AUTOCARRO           2077.700000
787                 TOYOTA YARIS           2077.000000
394                      HYUNDAY           2074.333333
548                         MINI           2065.559048
876                          XEV           2061.621250
839                    VOLKWAGEN           2061.500000
768                  TARGA PROVA           2060.000000
504                      MAGIRUS           2060.000000
445                      KORANDO           2060.000000
161                       CITOEN           2060.000000
157            CHRYSLER (USA) YJ           2060.000000
473                 LANCIA Y 1.1           2060.000000
851                  VW GOLF 1.9           2060.000000
80                   AUTOVETTURA           2060.000000
437                  KAWASAKI KL           2060.000000
784                    TOYOTA JG           2060.000000
392                 HYUNDAI ATOS           2060.000000
152         CHATENET QUADRICICLO           2060.000000
774                     TECNOMEC           2060.000000
159                     CINTROEN           2060.000000
761                       Sherco           2060.000000
786                 TOYOTA RAV 4           2060.000000
810                  UNO 45 FIRE           2060.000000
766                      TALARIA           2060.000000
243                         EURO           2060.000000
880                         XTOO           2060.000000
1002                       rimor           2060.000000
321                   FITA IVECO           2060.000000
280                 FIAT CINQ900           2060.000000
617                         Over           2060.000000
977                      mecedes           2060.000000
328                   FORD FOCUS           2060.000000
246                 EVO BUS M.B.           2060.000000
16                         ADRIA           2060.000000
582                       Motron           2060.000000
591                 NISSAN DATSU           2060.000000
624                   PAYERO GLS           2060.000000
312                  FIAT UNO 45           2060.000000
354                       GIOTTI           2060.000000
236                      ECOOTER           2060.000000
6                          A 112           2060.000000
