Avg Civil Liability Claim Amount by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
998                      porsche           1238.000000
298                 FIAT PUNTO 1           1225.000000
543                        MICRO           1220.000000
755                       SUZUKY           1220.000000
710                   SAME DEUTZ           1216.670000
53                     ANTONELLI           1200.000000
258                         FEND           1200.000000
633                  PEUGEOT 306           1200.000000
696                       Reform           1200.000000
600                        OELLE           1200.000000
614                        OZETA           1200.000000
151            CHATENET CH26 1 0           1200.000000
507              MALAGUTI/YAMAHA           1200.000000
693                   RSA ITALIA           1197.000000
274                  FIAT 640 DT           1195.000000
446                       KRAMER           1185.640000
684                       RNURFB           1180.000000
850                  VW GOLF 1.6           1173.500000
903                         beta           1170.000000
960                      landini           1166.666667
641                         POLO           1164.366667
540                MERCEDES-BENZ           1153.350000
685                  ROLLER TIME           1150.000000
772                      TAZZARI           1150.000000
183            CNH INTERNATIONAL           1150.000000
25          AGCO MASSEY FERGUSON           1150.000000
753               SUZUKI VALENTI           1145.000000
237                       EFFEDI           1141.600000
73                   AUTOB. Y 10           1141.500000
658                  RANGE ROVER           1140.000000
933                      generic           1140.000000
326                  FORD FIESTA           1133.333333
86                    Alfa Romeo           1120.000000
1034                      yamaha           1117.581818
344                        Fendt           1116.250000
313                  FIAT UNO 60           1104.000000
514                 MAR GENEROSA           1100.000000
953                     kawasaki           1100.000000
37                         AIXAN           1100.000000
550                     MINONZIO           1092.000000
54                       ANTONIO           1091.750000
272                      FIAT 55           1080.000000
1012                       smart           1060.000000
928                         fend           1050.000000
447                          KSR           1050.000000
134                         CASE           1047.500000
474                 LANCIA Y 1.2           1046.666667
103                BETAMOTOR SPA           1038.000000
828                          VLK           1030.000000
559                   MITSUBISKI           1030.000000
927                 fantic motor           1027.986667
873                           WV           1022.000000
1021                           v           1001.740000
132                  CASALINI 10           1000.000000
320                        FIORI           1000.000000
712              SAME DEUTZ-FAHR           1000.000000
1025                 volkswafgen           1000.000000
65                       ASTRA V           1000.000000
117                       BUCHER           1000.000000
852                  VW Golf 1.4           1000.000000
661                        RAV 4           1000.000000
482                 LAVERDA 3300           1000.000000
509            MAN NUTSFAHRZEUGE           1000.000000
268                     FIAT 100           1000.000000
593                 NISSAN MICRA           1000.000000
993                        paoli            992.305000
26                       AGILITY            985.695000
165                 CITROEN C3 1            980.500000
694                          RVK            980.000000
602                         OMAI            976.000000
314                 FIAT UNOFIRE            976.000000
664                  REFORMWERKE            975.000000
996                       piagio            970.000000
704                        SACAR            967.000000
777      THE LONDON TAXI COMPANY            960.000000
44                  ALFA 146 1.6            950.000000
976                   mc cormick            950.000000
962                       lieger            950.000000
904                    betamotor            940.320000
531                         MEGA            925.000000
35                      AIXAM SV            920.000000
14                         ADIVA            911.580000
966                     lw4 c ka            911.000000
866                        WAYEL            900.000000
316                     FIATAGRI            900.000000
422           JAGUAR LANDO ROVER            900.000000
985                   mitsubishu            900.000000
311                     FIAT UNO            900.000000
78            AUTOMOBILES LIGIER            900.000000
349            GARAGE ITALIA SRL            900.000000
81                          AXAM            900.000000
442                        KIMCO            900.000000
137                          CAT            900.000000
790                      TRANSIT            893.500000
60            ARCHIVE MOTORCYCLE            886.500000
620                    PANDA 4X4            882.910000
632                  PEUGEOT 206            880.000000
68                   AUDI A2 1.4            879.596667
520                        MASSY            878.000000
489                        LIFAN            876.666667
18          AERDIESEL LOMBARDINI            875.000000
332                 FORD Foc 2.0            872.000000
498                   LOMBARDINI            867.500000
338                     FORD WAG            854.000000
146                       CHANET            850.000000
1023                      valtra            846.010000
690                  ROVER GROUP            845.000000
92                           BCS            840.173333
256                    FD Motors            835.000000
638                 PIAGGIO VESP            830.000000
949                          jdm            825.000000
681                      RENEULT            814.000000
91                 BARTOLETTI MV            814.000000
750                SUZUKI ITALIA            800.000000
923                       ducati            800.000000
662                      REANULT            800.000000
513                          MAR            800.000000
783                 TOYOTA Celic            800.000000
691                   ROVER MINI            800.000000
334                  FORD Mondeo            800.000000
240                      ERREPPI            793.000000
249                         FAIT            780.000000
294                 FIAT PANDA 4            780.000000
339                     FRANCINI            780.000000
546                 MIETITREBBIA            760.000000
835                      VOLKSW.            750.000000
346                   Fiat Punto            750.000000
730                  SIMACAR SRL            750.000000
763               Suzuki Valenti            731.830000
936                         golf            731.160000
449                     KSR Moto            725.000000
1004                        same            721.670000
176                        CLASS            717.586667
435                   JONH DEERE            716.000000
623                     PASQUALI            707.600000
398                        Hymer            700.000000
1020                    trattore            700.000000
1017                         sym            700.000000
940                      hiunday            700.000000
744                        START            700.000000
83                           AXY            700.000000
24                  AGCO LIMITED            689.300000
732                    SIMPA JDM            668.000000
12                          ADAM            650.000000
535                 MERCEDES 208            640.000000
399                      Hyosung            635.000000
858                  VW POLO 1.4            628.000000
500                       LVNENG            613.815000
43                  ALFA 146 1.4            610.000000
643                   PORTA MOTO            600.000000
587                 NEW HOLLANDE            600.000000
939                   grecav eke            600.000000
606                 OPEL Astra 1            600.000000
935                      goldoni            600.000000
737                          SLH            600.000000
317                  FIATGEOTECH            600.000000
144                   CFORCE450L            600.000000
181         CNH EUROPE HOLDING S            587.000000
589                       NINGBO            580.000000
1029                   volswagen            580.000000
28                     AGRITALIA            573.400000
1011                       skoda            570.000000
855                  VW Lupo 1.0            564.950000
578              Mercedes - Benz            560.410000
262                     FERGUSON            560.000000
393                 HYUNDAI S.FE            552.500000
84                         Adiva            550.000000
706                   SAME 35 QL            550.000000
738                 SLH EXPLORER            548.180000
910                  caterpillar            512.400000
549                      MINICAR            500.000000
954                       kimkco            500.000000
99                     BERTOLINI            500.000000
524                MBK INDUSTRIE            500.000000
758                         Same            500.000000
799                      TRIGANO            500.000000
679                   RENAULT TW            500.000000
752                 SUZUKI SANTA            500.000000
324                    FORD 3600            480.000000
45                      ALFA 147            480.000000
499                        LOTUS            475.150000
427                   JHNO DEERE            465.000000
430                   JOHN  DEER            400.000000
409                       ITALIA            400.000000
780                    TOWN LIFE            400.000000
277                   FIAT 70/90            400.000000
254                          FCA            400.000000
797                 TRATTRICE AG            400.000000
925               dymlerchrysler            380.000000
570                       MOTRON            374.110000
1028                   volkwagen            370.000000
608                 OPEL CORSA S            350.000000
644                       PORTER            342.000000
792                 TRATT. BAML/            300.000000
15                          ADLY            300.000000
387                    HURLIMANN            289.000000
290                 FIAT MULTIPL            260.000000
125                     CADILLAC            250.000000
40                        AIXSAM            250.000000
576                         Mash            244.000000
575                          Man            244.000000
653          QUADRICICLO LEGGERO            240.000000
307                 FIAT Punto T            240.000000
206           DAIMLERCHRYSLER AG            185.000000
171                       CITRON            150.000000
